label,message
ham,Buy one egg for me da..please:)
ham,K..k...from tomorrow onwards started ah?
ham,Oh great. I.ll disturb him more so that we can talk.
spam,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com
ham,"Hi, can i please get a  &lt;#&gt;  dollar loan from you. I.ll pay you back by mid february. Pls."
ham,Not planned yet :)going to join company on jan 5 only.don know what will happen after that.
ham,Moji just informed me that you saved our lives. Thanks.
ham,U repeat e instructions again. Wat's e road name of ur house?
ham,"Nope. Since ayo travelled, he has forgotten his guy"
ham,Then ü ask dad to pick ü up lar... Ü wan 2 stay until 6 meh...
ham,Anything...
ham,Great! I shoot big loads so get ready!
ham,Hurry home u big butt. Hang up on your last caller if u have to. Food is done and I'm starving. Don't ask what I cooked.
ham,It took Mr owl 3 licks
ham,Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*
ham,Jus finish watching tv... U?
ham,Lol no. Just trying to make your day a little more interesting
ham,"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think."
ham,My battery is low babe
ham,"Tunji, how's the queen? how are you doing. This is just wishing you a great day. Abiola."
ham,"OH YEAH,AND HAV A GREAT TIME IN NEWQUAY-SEND ME A POSTCARD !1 LOOK AFTER ALL THE GIRLS WHILE IM GONE(U KNOW THE 1IM TALKIN BOUT!)xx"
ham,You flippin your shit yet?
ham,"Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning"
ham,(You didn't hear it from me)
ham,The basket's gettin full so I might be by tonight
ham,"Dear, will call Tmorrow.pls accomodate."
ham,Hi Chachi tried calling u now unable to reach u .. Pl give me a missed cal once u c tiz msg  Kanagu
ham,"Me, i dont know again oh"
ham,Mm not entirely sure i understood that text but hey. Ho. Which weekend?
ham,Wat time ü finish?
ham,I remain unconvinced that this isn't an elaborate test of my willpower
spam,Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery
ham,I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?
ham,Wot is u up 2 then bitch?
spam,Join the UK's horniest Dogging service and u can have sex 2nite!. Just sign up and follow the instructions. Txt ENTRY to 69888 now! Nyt.EC2A.3LP.msg@150p
ham,U really pig leh sleep so much. My dad wake me up at 10 smth 2 eat lunch today.
ham,U come n search tat vid..not finishd..
ham,Ok k..sry i knw 2 siva..tats y i askd..
spam,Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow
ham,His frens go then he in lor. Not alone wif my mum n sis lor.
ham,Is there coming friday is leave for pongal?do you get any news from your work place.
ham, what number do u live at? Is it 11?
ham,Probably a couple hours tops
ham,Wat would u like 4 ur birthday?
ham,Y she dun believe leh? I tot i told her it's true already. I thk she muz c us tog then she believe.
ham,That day you asked about anand number. Why:-)
ham,Only saturday and sunday holiday so its very difficult:)
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only
ham,We are both fine. Thanks
ham,I wish that I was with you. Holding you tightly. Making you see how important you are. How much you mean to me ... How much I need you ... In my life ...
ham,:( but your not here....
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! 
ham,U calling me right? Call my hand phone...
ham,I'm home...
ham,Aiyah sorry lor... I watch tv watch until i forgot 2 check my phone.
ham,When can ü come out?
spam,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693. 08715500022 rpl Stop 2 cnl
ham,You call him now ok i said call him
ham,Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...
ham,Lol great now im getting hungry.
ham,Its a big difference.  &lt;#&gt;  versus  &lt;#&gt;  every  &lt;#&gt; hrs
ham,Then why you came to hostel.
ham,"St andre, virgil's cream"
ham,Pls go there today  &lt;#&gt; . I dont want any excuses
ham,"(No promises on when though, haven't even gotten dinner yet)"
ham,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched..."
ham,Well I'm going to be an aunty!
ham,Yup it's at paragon... I havent decided whether 2 cut yet... Hee...
ham,"Multiply the numbers independently and count decimal points then, for the division, push the decimal places like i showed you."
ham,U 2.
ham,Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :)
ham,"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!"
ham,Did u see what I posted on your Facebook?
spam,"URGENT! Your mobile No *********** WON a £2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362220 ASAP! BOX97N7QP, 150ppm"
ham,S but mostly not like that.
ham,Ok lor wat time ü finish?
ham,I'm not. She lip synced with shangela.
ham,I dont know oh. Hopefully this month.
ham,Thanks for ve lovely wisheds. You rock
ham,"Not much, just some textin'. How bout you?"
spam,Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.
ham,"Yeah there's quite a bit left, I'll swing by tomorrow when I get up"
ham,Only once then after ill obey all yours.
ham,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.
ham,Shall i come to get pickle
ham,What is your record for one night? :)
ham,"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ..."
ham,Lol they don't know about my awesome phone. I could click delete right now if I want.
ham,Hi.what you think about match?
ham,What time should I tell my friend to be around?
ham,Dunno lei ü all decide lor. How abt leona? Oops i tot ben is going n i msg him.
ham,"Haha awesome, I've been to 4u a couple times. Who all's coming?"
ham,I'm working technical support :)voice process.networking field.
spam,We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705
spam,"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary"
ham,Dont let studying stress you out. L8r.
ham,Good words.... But words may leave u in dismay many times.
ham,WHAT TIME U WRKIN?
ham,* Will have two more cartons off u and is very pleased with shelves
spam,Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP
ham,She went to attend another two rounds today..but still did't reach home..
ham,I can do that! I want to please you both inside and outside the bedroom...
ham,Just wanted to say holy shit you guys weren't kidding about this bud
ham,Hey. You got any mail?
ham,S...i will take mokka players only:)
ham,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it...."
ham,Still work going on:)it is very small house.
ham,Boy you best get yo ass out here quick
ham,"Sorry da thangam, very very sorry i am held up with prasad."
ham,"Yeah I should be able to, I'll text you when I'm ready to meet up"
ham,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)"
spam,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE"
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
ham,"How is my boy? No sweet words left for me this morning ... *sighs* ... How goes you day, my love ? Did you start your studying?"
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
ham,Armand says get your ass over to epsilon
ham,Huh means computational science... Y they like dat one push here n there...
spam,wamma get laid?want real doggin locations sent direct to your mobile? join the UKs largest dogging network. txt dogs to 69696 now!nyt. ec2a. 3lp £1.50/msg.
ham,No:-)i got rumour that you going to buy apartment in chennai:-)
ham,Ü say until like dat i dun buy ericsson oso cannot oredi lar...
spam,"Final Chance! Claim ur £150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Subs 16"
ham,Can i meet ü at 5.. As 4 where depends on where ü wan 2 in lor..
ham,Leave it. U will always be ignorant.
spam,Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate)
spam,Tone Club: Your subs has now expired 2 re-sub reply MONOC 4 monos or POLYC 4 polys 1 weekly @ 150p per week Txt STOP 2 stop This msg free Stream 0871212025016
ham,It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure
ham,what are your new years plans?
ham,"It,,s a taxt massage....tie-pos argh ok! Lool!"
ham,I've been trying to reach him without success
ham,Eat at old airport road... But now 630 oredi... Got a lot of pple...
ham,"Geeee ... I miss you already, you know ? Your all I can think about. Fuck, I can't wait till next year when we will be together ... *loving kiss*"
ham,Oh. U must have taken your REAL Valentine out shopping first.
ham,Already one guy loving you:-.
ham,"Not sure yet, still trying to get a hold of him"
spam,**FREE MESSAGE**Thanks for using the Auction Subscription Service. 18 . 150p/MSGRCVD 2 Skip an Auction txt OUT. 2 Unsubscribe txt STOP CustomerCare 08718726270
spam,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p"
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04
ham,", how's things? Just a quick question."
ham,Nutter. Cutter. Ctter. Cttergg. Cttargg. Ctargg. Ctagg. ie you
ham,Ya:)going for restaurant..
ham,"It wont b until 2.15 as trying 2 sort house out, is that ok?"
ham,What happen to her tell the truth
ham,Ok thanx... Take care then...
ham,"Yeah, where's your class at?"
ham,I dont know what to do to come out of this so only am ask questions like this dont mistake me.
ham,How dare you stupid. I wont tell anything to you. Hear after i wont talk to you:-.
ham,Am in gobi arts college
ham,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense."
ham,Gud ni8 dear..slp well..take care..swt dreams..Muah..
ham,Ok i thk i got it. Then u wan me 2 come now or wat?
ham,"Guy, no flash me now. If you go call me, call me. How madam. Take care oh."
ham," came to look at the flat, seems ok, in his 50s? * Is away alot wiv work. Got woman coming at 6.30 too."
ham,Crazy ar he's married. Ü like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.
spam,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O £250 3 WANT £800
ham,Cuz ibored. And don wanna study
ham,i am going to bed now prin
ham,"Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary"
ham,I am late. I will be there at
ham,"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8"
ham,I anything lor.
ham,Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow
ham,A guy who gets used but is too dumb to realize it.
ham,My darling sister. How are you doing. When's school resuming. Is there a minimum wait period before you reapply? Do take care
ham,Will you come online today night
ham,Oh ok no prob..
ham,Did you show him and wot did he say or could u not c him 4 dust?
ham,I got to video tape pple type in message lor. U so free wan 2 help me? Hee... Cos i noe u wan 2 watch infernal affairs so ask u along. Asking shuhui oso.
ham,DO U WANT 2 MEET UP 2MORRO
ham,"Hey, I missed you tm of last night as my phone was on the charge ... *smiles* ... I am meeting a friend shortly"
ham,I am thinking of going down to reg for pract lessons.. Flung my advance.. Haha wat time u going?
spam,Phony £350 award - Todays Voda numbers ending XXXX are selected to receive a £350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app
ham,"Mmmmm ... It was sooooo good to wake to your words this morning, my Love!! Mmmm fuck ... I love you too, my Lion ... *devouring kiss from across the sea*"
spam,Do you want 750 anytime any network mins 150 text and a NEW VIDEO phone for only five pounds per week call 08002888812 or reply for delivery tomorrow
ham,Hi my email address has changed now it is 
ham,"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter"
ham,they released another Italian one today and it has a cosign option
ham,Okey dokey swashbuckling stuff what oh.
ham,I'm at home n ready...
ham,Sorry i've not gone to that place. I.ll do so tomorrow. Really sorry.
ham,Hello which the site to download songs its urgent pls
ham,"Sir, Waiting for your mail."
ham,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...
spam,Todays Voda numbers ending with 7634 are selected to receive a £350 reward. If you have a match please call 08712300220 quoting claim code 7684 standard rates apply.
ham,Allo! We have braved the buses and taken on the trains and triumphed. I mean we‘re in b‘ham. Have a jolly good rest of week
ham,"I guess you could be as good an excuse as any, lol."
ham,Convey my regards to him
ham,Yes. Please leave at  &lt;#&gt; . So that at  &lt;#&gt;  we can leave
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
ham,Sitting ard nothing to do lor. U leh busy w work?
ham,You tell what happen dont behave like this to me. Ok no need to say
ham,No problem. Talk to you later
ham,"Ha ha nan yalrigu heltini..Iyo kothi chikku, u shared many things wit me..so far i didn't told any body and even uttered a word abt u.. If ur trusting me so much how can i tell these to others.. Plz nxt time dont use those words to me..ok, chikku:-);-)B-)"
ham,Why did I wake up on my own &gt;:(
ham,Ron say fri leh. N he said ding tai feng cant make reservations. But he said wait lor.
ham,I don't think he has spatula hands!
spam,"I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to 89938 for no strings action. (Txt STOP 2 end, txt rec £1.50ea. OTBox 731 LA1 7WS. )"
ham,"Awesome, I remember the last time we got somebody high for the first time with diesel :V"
ham,"Christmas is An occasion that is Celebrated as a Reflection of UR... Values..., Desires..., Affections...&amp; Traditions.... Have an ideal Christmas..."
spam,"You have been specially selected to receive a ""3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo"
ham,Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.
ham,You stayin out of trouble stranger!!saw Dave the other day hes sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA! 
ham,K then 2marrow are you coming to class.
ham,Loosu go to hospital. De dont let it careless.
ham,You said to me before i went back to bed that you can't sleep for anything.
ham,Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?
ham,Its a great day. Do have yourself a beautiful one.
ham,"If you want to mapquest it or something look up ""usf dogwood drive"", that's the tiny street where the parking lot is"
spam,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)"
ham,Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing
ham,Oh yeah clearly it's my fault
ham,"Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea"
spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
ham,"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya"
ham,I will reach ur home in  &lt;#&gt;  minutes
ham,I had it already..sabarish asked me to go..
ham,"Nimbomsons. Yep phone knows that one. Obviously, cos thats a real word"
ham,Bring tat cd don forget
ham,"K, fyi I'm back in my parents' place in south tampa so I might need to do the deal somewhere else"
ham,Dear reached railway. What happen to you
ham,"That‘s the thing with apes, u can fight to the death to keep something, but the minute they have it when u let go, thats it!"
spam,I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate)
ham,"Yeah, probably here for a while"
ham,I'll probably be around mu a lot
ham,I'll be late...
spam,You have won a guaranteed 32000 award or maybe even £1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???
ham,Hi neva worry bout da truth coz the truth will lead me 2 ur heart. Its the least a unique person like u deserve. Sleep tight or morning
ham,"Almost there, see u in a sec"
ham,Hey mr  and I are going to the sea view and having a couple of gays I mean games! Give me a bell when ya finish 
ham,And pls pls drink plenty plenty water
ham,I think if he rule tamilnadu..then its very tough for our people.
ham,"Aight fuck it, I'll get it later"
ham,I want to be there so i can kiss you and feel you next to me
spam,Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you
ham,"Gud gud..k, chikku tke care.. sleep well gud nyt"
ham,Then why no one talking to me
ham,"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer."
ham,That means get the door
